kod_cast,radon,populace,okres,kraj
005207,1.0,647.0,Olomouc,Olomoucký kraj
072117,1.0,307.0,Olomouc,Olomoucký kraj
099295,1.0,494.0,Prostějov,Olomoucký kraj
108570,1.0,270.0,Prostějov,Olomoucký kraj
016683,1.0,195.0,Olomouc,Olomoucký kraj
175421,1.0,451.0,Olomouc,Olomoucký kraj
103047,1.0,1854.0,Prostějov,Olomoucký kraj
093211,1.0,657.0,Přerov,Olomoucký kraj
099872,1.0,1571.0,Prostějov,Olomoucký kraj
181455,1.0,608.0,Prostějov,Olomoucký kraj
104396,1.0,1414.0,Prostějov,Olomoucký kraj
089125,1.0,2270.0,Olomouc,Olomoucký kraj
169366,1.0,773.0,Olomouc,Olomoucký kraj
084841,1.0,366.0,Olomouc,Olomoucký kraj
133701,2.0,306.0,Prostějov,Olomoucký kraj
024384,2.0,165.0,Prostějov,Olomoucký kraj
014826,2.0,90.0,Prostějov,Olomoucký kraj
044440,2.0,88.0,Prostějov,Olomoucký kraj
014818,2.0,184.0,Prostějov,Olomoucký kraj
046159,2.0,413.0,Šumperk,Olomoucký kraj
031518,2.0,258.0,Olomouc,Olomoucký kraj
105040,2.0,145.0,Prostějov,Olomoucký kraj
004545,1.0,171.0,Prostějov,Olomoucký kraj
030481,1.0,386.0,Prostějov,Olomoucký kraj
151891,2.0,301.0,Prostějov,Olomoucký kraj
034304,2.0,219.0,Prostějov,Olomoucký kraj
031470,2.0,967.0,Olomouc,Olomoucký kraj
040151,2.0,1808.0,Olomouc,Olomoucký kraj
134651,2.0,1073.0,Prostějov,Olomoucký kraj
064921,2.0,336.0,Prostějov,Olomoucký kraj
088676,2.0,42.0,Olomouc,Olomoucký kraj
157503,2.0,74.0,Olomouc,Olomoucký kraj
090883,2.0,26.0,Šumperk,Olomoucký kraj
006505,2.0,111.0,Prostějov,Olomoucký kraj
109363,2.0,442.0,Prostějov,Olomoucký kraj
069990,2.0,299.0,Šumperk,Olomoucký kraj
006491,2.0,448.0,Prostějov,Olomoucký kraj
121193,2.0,66.0,Šumperk,Olomoucký kraj
100510,2.0,103.0,Prostějov,Olomoucký kraj
085111,2.0,212.0,Šumperk,Olomoucký kraj
075728,2.0,157.0,Šumperk,Olomoucký kraj
039896,2.0,320.0,Prostějov,Olomoucký kraj
084590,2.0,197.0,Prostějov,Olomoucký kraj
084603,2.0,368.0,Prostějov,Olomoucký kraj
192384,2.0,360.0,Prostějov,Olomoucký kraj
044458,2.0,87.0,Prostějov,Olomoucký kraj
139076,2.0,194.0,Prostějov,Olomoucký kraj
139190,2.0,94.0,Prostějov,Olomoucký kraj
075621,2.0,240.0,Olomouc,Olomoucký kraj
109410,2.0,184.0,Prostějov,Olomoucký kraj
181994,2.0,220.0,Olomouc,Olomoucký kraj
080420,2.0,353.0,Prostějov,Olomoucký kraj
125652,2.0,134.0,Prostějov,Olomoucký kraj
